img,folder,ratio,h,w,h_cm,w_cm,area,mode,gmean,std
../images/mask_set/2high_exsertion_low_seed_set/74.tif,2high_exsertion_low_seed_set,0.32,100,32,1.0526315789,0.3368421053,6720,31,38.56,19.4209485532
../images/mask_set/2high_exsertion_low_seed_set/31.tif,2high_exsertion_low_seed_set,0.2934782609,92,27,0.9684210526,0.2842105263,5412,28,34.97,21.9620614264
../images/mask_set/2high_exsertion_low_seed_set/7.tif,2high_exsertion_low_seed_set,0.404040404,99,40,1.0421052632,0.4210526316,8955,28,31.23,16.6669153411
../images/mask_set/2high_exsertion_low_seed_set/119.tif,2high_exsertion_low_seed_set,0.2450980392,102,25,1.0736842105,0.2631578947,5052,28,29.75,12.6099706851
../images/mask_set/2high_exsertion_low_seed_set/45.tif,2high_exsertion_low_seed_set,0.4059405941,101,41,1.0631578947,0.4315789474,7320,24,33.2,25.7837245447
../images/mask_set/2high_exsertion_low_seed_set/139.tif,2high_exsertion_low_seed_set,0.2452830189,53,13,0.5578947368,0.1368421053,1527,25,28.27,17.6673798752
../images/mask_set/2high_exsertion_low_seed_set/69.tif,2high_exsertion_low_seed_set,0.4444444444,81,36,0.8526315789,0.3789473684,4764,27,37.6,26.0018736869
../images/mask_set/2high_exsertion_low_seed_set/59.tif,2high_exsertion_low_seed_set,0.3679245283,106,39,1.1157894737,0.4105263158,7743,29,34.62,20.91807052
../images/mask_set/2high_exsertion_low_seed_set/126.tif,2high_exsertion_low_seed_set,0.4375,96,42,1.0105263158,0.4421052632,7083,26,32.72,25.3539687634
../images/mask_set/2high_exsertion_low_seed_set/10.tif,2high_exsertion_low_seed_set,0.164556962,79,13,0.8315789474,0.1368421053,2283,33,35.3,17.6521606029
../images/mask_set/2high_exsertion_low_seed_set/64.tif,2high_exsertion_low_seed_set,0.2875,80,23,0.8421052632,0.2421052632,4121,28,40.72,24.380219081
../images/mask_set/2high_exsertion_low_seed_set/39.tif,2high_exsertion_low_seed_set,0.4418604651,86,38,0.9052631579,0.4,6202,28,32.6,21.5156201242
../images/mask_set/2high_exsertion_low_seed_set/17.tif,2high_exsertion_low_seed_set,0.3411764706,85,29,0.8947368421,0.3052631579,5472,28,41.53,23.4897386229
../images/mask_set/2high_exsertion_low_seed_set/4.tif,2high_exsertion_low_seed_set,0.3636363636,99,36,1.0421052632,0.3789473684,7308,31,37.1,18.0161905368
../images/mask_set/2high_exsertion_low_seed_set/86.tif,2high_exsertion_low_seed_set,0.2882882883,111,32,1.1684210526,0.3368421053,7998,32,39.62,20.1287273657
../images/mask_set/2high_exsertion_low_seed_set/28.tif,2high_exsertion_low_seed_set,0.2352941176,102,24,1.0736842105,0.2526315789,5358,31,32.72,20.7905826123
../images/mask_set/2high_exsertion_low_seed_set/125.tif,2high_exsertion_low_seed_set,0.3469387755,98,34,1.0315789474,0.3578947368,6734,25,28.48,20.6186200163
../images/mask_set/2high_exsertion_low_seed_set/138.tif,2high_exsertion_low_seed_set,0.2153846154,65,14,0.6842105263,0.1473684211,2082,27,32.22,20.1966526884
../images/mask_set/2high_exsertion_low_seed_set/123.tif,2high_exsertion_low_seed_set,0.3085106383,94,29,0.9894736842,0.3052631579,5820,25,27.03,14.8047423576
../images/mask_set/2high_exsertion_low_seed_set/23.tif,2high_exsertion_low_seed_set,0.3977272727,88,35,0.9263157895,0.3684210526,5784,25,30.81,22.4380059981
../images/mask_set/2high_exsertion_low_seed_set/91.tif,2high_exsertion_low_seed_set,0.2023809524,84,17,0.8842105263,0.1789473684,3245,21,37.66,30.691167631
../images/mask_set/2high_exsertion_low_seed_set/72.tif,2high_exsertion_low_seed_set,0.198019802,101,20,1.0631578947,0.2105263158,4080,28,37.66,22.9622350883
../images/mask_set/2high_exsertion_low_seed_set/8.tif,2high_exsertion_low_seed_set,0.1941747573,103,20,1.0842105263,0.2105263158,4365,33,40.4,24.017782063
../images/mask_set/2high_exsertion_low_seed_set/131.tif,2high_exsertion_low_seed_set,0.4470588235,85,38,0.8947368421,0.4,6123,24,27.94,17.6820851158
../images/mask_set/2high_exsertion_low_seed_set/94.tif,2high_exsertion_low_seed_set,0.4587155963,109,50,1.1473684211,0.5263157895,10200,28,34.72,20.5865209677
../images/mask_set/2high_exsertion_low_seed_set/40.tif,2high_exsertion_low_seed_set,0.2021276596,94,19,0.9894736842,0.2,4044,26,27.4,13.4960136972
../images/mask_set/2high_exsertion_low_seed_set/128.tif,2high_exsertion_low_seed_set,0.3917525773,97,38,1.0210526316,0.4,7032,28,38.4,27.7507791152
../images/mask_set/2high_exsertion_low_seed_set/106.tif,2high_exsertion_low_seed_set,0.2444444444,90,22,0.9473684211,0.2315789474,3789,33,45.72,27.2071128049
../images/mask_set/2high_exsertion_low_seed_set/117.tif,2high_exsertion_low_seed_set,0.4473684211,76,34,0.8,0.3578947368,5759,28,37.97,26.7307608587
../images/mask_set/2high_exsertion_low_seed_set/68.tif,2high_exsertion_low_seed_set,0.2596153846,104,27,1.0947368421,0.2842105263,6549,30,36.38,22.4030671506
../images/mask_set/2high_exsertion_low_seed_set/98.tif,2high_exsertion_low_seed_set,0.3804347826,92,35,0.9684210526,0.3684210526,6149,31,41.28,25.008485383
../images/mask_set/2high_exsertion_low_seed_set/52.tif,2high_exsertion_low_seed_set,0.4175824176,91,38,0.9578947368,0.4,7005,32,36.44,20.7370318809
../images/mask_set/2high_exsertion_low_seed_set/134.tif,2high_exsertion_low_seed_set,0.4823529412,85,41,0.8947368421,0.4315789474,6020,31,37.66,25.1112790092
../images/mask_set/2high_exsertion_low_seed_set/22.tif,2high_exsertion_low_seed_set,0.2,95,19,1,0.2,3900,32,36.66,19.367710077
../images/mask_set/2high_exsertion_low_seed_set/53.tif,2high_exsertion_low_seed_set,0.3448275862,87,30,0.9157894737,0.3157894737,5307,25,30.39,21.9332550553
../images/mask_set/2high_exsertion_low_seed_set/37.tif,2high_exsertion_low_seed_set,0.5308641975,81,43,0.8526315789,0.4526315789,6759,28,32.47,22.0348471292
../images/mask_set/2high_exsertion_low_seed_set/62.tif,2high_exsertion_low_seed_set,0.3092783505,97,30,1.0210526316,0.3157894737,5577,26,32.94,22.7282262181
../images/mask_set/2high_exsertion_low_seed_set/20.tif,2high_exsertion_low_seed_set,0.2959183673,98,29,1.0315789474,0.3052631579,6267,23,34.22,25.8410884894
../images/mask_set/2high_exsertion_low_seed_set/11.tif,2high_exsertion_low_seed_set,0.347826087,92,32,0.9684210526,0.3368421053,6627,31,34.3,19.7200067243
../images/mask_set/2high_exsertion_low_seed_set/113.tif,2high_exsertion_low_seed_set,0.47,100,47,1.0526315789,0.4947368421,8163,23,31.9,20.8222900203
../images/mask_set/2high_exsertion_low_seed_set/70.tif,2high_exsertion_low_seed_set,0.3866666667,75,29,0.7894736842,0.3052631579,4227,31,36.16,20.8646010728
../images/mask_set/2high_exsertion_low_seed_set/66.tif,2high_exsertion_low_seed_set,0.3131313131,99,31,1.0421052632,0.3263157895,6705,33,39.25,20.9784102569
../images/mask_set/2low_seed_set_low_exsertion/61.tif,2low_seed_set_low_exsertion,0.2608695652,115,30,1.2105263158,0.3157894737,7317,35,47.06,22.6295657267
../images/mask_set/2low_seed_set_low_exsertion/18.tif,2low_seed_set_low_exsertion,0.2183908046,87,19,0.9157894737,0.2,3807,38,48.75,23.7397235163
../images/mask_set/2low_seed_set_low_exsertion/34.tif,2low_seed_set_low_exsertion,0.3783783784,111,42,1.1684210526,0.4421052632,10133,32,35.38,20.0078564405
../images/mask_set/2low_seed_set_low_exsertion/41.tif,2low_seed_set_low_exsertion,0.2680412371,97,26,1.0210526316,0.2736842105,5904,27,36.16,22.7794498762
