img,h_mm,w_mm,area (pixels)
2high_exsertion_low_seed_set/44.tif,10.105263158,3.473684211,6417
2high_exsertion_low_seed_set/30.tif,9.368421053,3.684210526,6390
2high_exsertion_low_seed_set/48.tif,10.526315789,3.473684211,7308
2high_exsertion_low_seed_set/97.tif,8.315789474,3.789473684,4267
2high_exsertion_low_seed_set/56.tif,9.578947368,4,7005
2high_exsertion_low_seed_set/46.tif,11.052631579,4.315789474,7954
2high_exsertion_low_seed_set/105.tif,10.105263158,3.263157895,6135
2high_exsertion_low_seed_set/80.tif,9.578947368,2.736842105,5382
2high_exsertion_low_seed_set/74.tif,10.526315789,3.368421053,6720
2high_exsertion_low_seed_set/31.tif,9.684210526,2.842105263,5412
2high_exsertion_low_seed_set/7.tif,10.421052632,4.210526316,8955
2high_exsertion_low_seed_set/119.tif,10.736842105,2.631578947,5052
2high_exsertion_low_seed_set/45.tif,10.631578947,4.315789474,7320
2high_exsertion_low_seed_set/139.tif,5.578947368,1.368421053,1527
2high_exsertion_low_seed_set/69.tif,8.526315789,3.789473684,4764
2high_exsertion_low_seed_set/59.tif,11.157894737,4.105263158,7743
2high_exsertion_low_seed_set/126.tif,10.105263158,4.421052632,7083
2high_exsertion_low_seed_set/10.tif,8.315789474,1.368421053,2283
2high_exsertion_low_seed_set/64.tif,8.421052632,2.421052632,4121
2high_exsertion_low_seed_set/39.tif,9.052631579,4,6202
2high_exsertion_low_seed_set/17.tif,8.947368421,3.052631579,5472
2high_exsertion_low_seed_set/4.tif,10.421052632,3.789473684,7308
2high_exsertion_low_seed_set/86.tif,11.684210526,3.368421053,7998
2high_exsertion_low_seed_set/28.tif,10.736842105,2.526315789,5358
2high_exsertion_low_seed_set/125.tif,10.315789474,3.578947368,6734
2high_exsertion_low_seed_set/138.tif,6.842105263,1.473684211,2082
2high_exsertion_low_seed_set/123.tif,9.894736842,3.052631579,5820
2high_exsertion_low_seed_set/23.tif,9.263157895,3.684210526,5784
2high_exsertion_low_seed_set/91.tif,8.842105263,1.789473684,3245
