img,folder,ratio,h,w,area,est_h_cm,est_w_cm,mode,gmean,kurtosis,var,std
../images/mask_set/2high_exsertion_low_seed_set/13.tif,2high_exsertion_low_seed_set,0.3,100,30,6714,1.0526315789,0.3157894737,27,30.92,3.869340211,-1595.787980094,18.6124518383
../images/mask_set/2high_exsertion_low_seed_set/78.tif,2high_exsertion_low_seed_set,0.2608695652,115,30,7473,1.2105263158,0.3157894737,35,36.66,4.1169881446,-2778.1265032065,17.3615834191
../images/mask_set/2high_exsertion_low_seed_set/49.tif,2high_exsertion_low_seed_set,0.3235294118,102,33,7941,1.0736842105,0.3473684211,25,30.69,1.9946108247,-1602.1443353539,23.2125901603
../images/mask_set/2high_exsertion_low_seed_set/88.tif,2high_exsertion_low_seed_set,0.2592592593,108,28,6844,1.1368421053,0.2947368421,24,31.6,2.0937572729,-1948.2675510931,21.5748994108
../images/mask_set/2high_exsertion_low_seed_set/137.tif,2high_exsertion_low_seed_set,0.4235294118,85,36,6603,0.8947368421,0.3789473684,25,27.23,8.059018199,-964.6843778087,17.5213534565
../images/mask_set/2high_exsertion_low_seed_set/144.tif,2high_exsertion_low_seed_set,3.1935483871,99,31,6442,1.0421052632,0.3263157895,26,33.56,1.6121502469,-2578.5433768648,21.8143330748
../images/mask_set/2high_exsertion_low_seed_set/12.tif,2high_exsertion_low_seed_set,0.3203883495,103,33,7134,1.0842105263,0.3473684211,24,29.45,4.6261455123,-1335.0647948601,19.1535792015
../images/mask_set/2high_exsertion_low_seed_set/50.tif,2high_exsertion_low_seed_set,0.1927710843,83,16,3126,0.8736842105,0.1684210526,26,37.1,-0.6820125339,-7972.6633300993,26.398347119
../images/mask_set/2high_exsertion_low_seed_set/103.tif,2high_exsertion_low_seed_set,0.2278481013,79,18,2967,0.8315789474,0.1894736842,33,37.97,-0.1509607264,-9514.1550434153,25.6784270942
../images/mask_set/2high_exsertion_low_seed_set/130.tif,2high_exsertion_low_seed_set,0.4081632653,98,40,7602,1.0315789474,0.4210526316,29,36.94,0.735495368,-3362.3150073882,23.8957140271
../images/mask_set/2high_exsertion_low_seed_set/77.tif,2high_exsertion_low_seed_set,0.3484848485,66,23,2943,0.6947368421,0.2421052632,35,35.6,4.0291471289,-6832.9330354389,19.176984581
../images/mask_set/2high_exsertion_low_seed_set/67.tif,2high_exsertion_low_seed_set,0.3023255814,86,26,5181,0.9052631579,0.2736842105,32,40.8,-0.0347446032,-6460.7116193436,23.0355414242
../images/mask_set/2high_exsertion_low_seed_set/73.tif,2high_exsertion_low_seed_set,0.2018348624,109,22,5376,1.1473684211,0.2315789474,28,29.97,12.0860620253,-1684.7944317343,15.2702476287
../images/mask_set/2high_exsertion_low_seed_set/79.tif,2high_exsertion_low_seed_set,0.3069306931,101,31,6111,1.0631578947,0.3263157895,30,31.66,13.3540366205,-1835.634659273,14.7795917362
../images/mask_set/2high_exsertion_low_seed_set/114.tif,2high_exsertion_low_seed_set,0.4947368421,95,47,7845,1,0.4947368421,26,30.45,5.9623148755,-1295.7971636056,17.6405596998
../images/mask_set/2high_exsertion_low_seed_set/140.tif,2high_exsertion_low_seed_set,0.3768115942,69,26,3582,0.7263157895,0.2736842105,25,28.11,9.8054484538,-1979.1791535235,16.0418750275
../images/mask_set/2high_exsertion_low_seed_set/42.tif,2high_exsertion_low_seed_set,0.2584269663,89,23,4284,0.9368421053,0.2421052632,22,34.1,-0.5044834675,-4752.3703279423,27.3882524432
